year_of_birth,gender,level_of_education,mailing_address
1999,m,el,смт.Степань
1985,m,m,Івано- Франківськ
1988,m,m,Kyiv
1994,m,a,Kyiv
1991,m,m,Черкаси
1991,m,m,м. Київ
1994,m,a,Київ
1983,m,b,Kyiv
1993,m,b,Днiпропетровськ
1988,f,m,Київ
1987,m,b,
1985,m,m,Киів
1988,m,m,
1986,m,,
1980,m,a,Одеса
1991,f,m,Київ
1983,m,a,Львів
1979,f,m,Кіровоград
1989,f,m,
1964,m,m,м.Вінниця
1983,m,m,Івано-Франківськ
None,,m,
1981,f,m,
1983,f,b,Київ
1988,m,m,Харків
1990,m,m,Zhitomir
1988,m,m,Luhansk
1988,m,m,Київ
None,,,
1981,m,m,Львів
1992,f,m,Київ
1972,m,m,Галич
1985,m,m,Вінниця
1985,m,m,Київ
1986,f,b,Киев
1988,f,m,Київ
1980,f,m,Коломия
1978,f,m,м. Київ
1991,f,m,м. Дніпропетровск
1989,f,m,Киев
1998,f,el,Київ
1991,f,m,Івано-Франківськ
1989,f,m,Kyiv
1998,f,el,Великий Бурлук
1983,f,m,м.Івано-Франківськ
1989,f,m,Київ
1988,f,m,Київ
1996,f,a,Білгород-Дністровський
1968,f,hs,Камянці-Подільському
1993,f,b,
1983,f,m,
1985,f,m,м. Умань
1990,f,b,"Київська область, с. Копилов"
1988,f,m,Kyiv
1980,f,m,Харків
1984,f,m,
1992,m,a,
1968,m,m,Дніпропетровськ
1991,f,m,Kiev
1985,m,m,Kyiv
1980,f,b,смт. Немішаєве Київської обл. 
1991,m,b,Київ
1988,m,m,Киев
1986,m,m,Київ
1997,f,hs,Київ
1977,m,a,Житомир
1986,f,m,м. Маріуполь
1970,m,m,Киев
1992,f,m,
1987,m,m,Kiev
1975,m,m,
None,m,,
1985,m,hs,Київ
1991,m,b,Київ
1995,,,
1989,m,m,Київ
1998,m,hs,
1992,m,m,
1987,m,m,Київ
1981,m,m,м.Київ
1994,m,hs,місто Миколаїв
1999,m,hs,Київ
1982,m,a,Київ
1991,m,m,Київ
1990,m,m,Одеса
1990,m,m,Володимир-Волинський
1983,m,m,Kharkiv
1990,m,hs,Kyiv
1992,m,m,м.Львів
1975,f,m,Сімферополь
1979,m,m,Kyiv
1984,m,a,Київ
1987,m,m,м.Хмельницький
1987,m,m,Київ
1981,m,m,Житомир
1982,m,m,Kyiv
1992,m,a,Київ
1984,m,m,Lviv
1995,m,a,Ковель
1975,m,m,Киев
1986,m,m,Київ
1990,m,m,Київ 
1993,m,a,
1977,m,m,Харків
1985,m,m,Запорiжжя
1980,m,m,місто Свердловськ
1988,m,m,Київ
1992,m,b,
1995,m,hs,
1973,m,m,Івано-Франківськ
1991,m,m,
1988,m,m,Kryvyi Rih
1990,m,m,Бровари
1994,m,a,
1973,m,m,Київ
1980,m,m,м. Київ
1987,m,hs,
1988,m,m,Київ
1978,m,m,Київ
1984,m,m,Киев
None,,,
1995,m,a,Чернівці
1980,m,m,Суми
1982,m,p,
1966,m,m,Харків
1987,m,m,Київ
1982,f,m,Київ
1990,m,b,"Chicago, IL"
1987,f,b,
1987,m,m,
1994,f,a,Київ
1993,m,a,Kyiv
1983,m,m,Київ
1993,m,b,Тернопiль
1997,m,hs,Київ
1968,m,m,Одесса
None,m,a,
2013,f,m,Київ
1986,f,m,Київ
1986,m,m,
1991,m,m,Київ
1971,m,m,Днепропетровск
1980,m,m,Львів
1980,m,m,
1996,m,jhs,
1990,m,b,Івано-Франківськ
1981,m,m,
1980,m,m,Київ
None,,m,
1990,m,m,Киев
1990,m,m,
1977,m,p,Ternopil
1985,f,m,Київ / Боярка
1991,f,m,Київ
1993,m,a,
1997,m,a,
1979,m,m,Львів
1978,m,a,Дніпропетровськ
1992,m,b,м. Львів
1999,f,hs,
1967,f,p,м.Київ
1973,m,m,Санкт-Петербург
1989,m,b,Warszawa
1964,m,m,Kiev
1997,m,a,Kiev
1971,m,m,Дніпропетровськ
1983,m,m,Мариуполь
1988,m,b,Харьков
1990,m,m,Київ
1987,m,m,
1982,m,m,Донецьк
1983,m,m,Krivoy Rog
1997,m,,
1982,m,m,Київ
1991,m,b,"смт. Калинівка. Броварський район, Київська область"
1989,m,jhs,zaporizhia
1986,m,m,
1983,m,m,Kiev
1979,m,hs,Одесса
1969,m,b,Киев
1994,m,a,Київ 
1992,m,a,Дніпропетровськ
1990,m,b,Київ
None,,,
1990,m,b,Київ
1984,m,m,Kiyv
1986,m,m,Київ
1976,m,m,
1984,m,m,Київ 
1993,m,b,Киев 
1975,m,m,Херсон
1996,m,a,Odessa
1995,m,b,Київ
1975,m,m,Київ
1989,m,m,Дніпропетровськ
1989,m,m,Одеса
1985,m,m,Кривий Ріг
1993,m,b,
1973,m,m,Дніпропетровськ
1981,m,m,Kyiv
None,m,m,
1976,m,m,Киев
1994,m,a,м. Київ
1992,m,a,Одеса
1991,m,m,Київ
1974,m,jhs,Київ
1979,m,m,Запоріжжя
1988,m,m,Полтава
1988,m,m,Ivano-Frankivsk
1996,m,a,Київ
None,m,b,Lviv
1979,m,jhs,Луцьк
1983,m,a,Киев
1993,m,b,Київ
1978,m,p,Харків
1973,m,hs,Киев
1985,m,m,Київ
1984,f,m,м.Гадяч
1983,f,m,Kiev
1986,f,m,Lviv
1995,m,a,Kiev
1983,m,m,Дніпропетровськ
1975,m,m,Днепропетровск 
1974,m,b,Дніпропетровськ
1982,m,m,Одеса
1988,m,m,Киев
1992,f,b,Київ
1987,m,m,Киев
1987,f,m,Київ
1993,m,b,Одеса
1978,m,m,Кременець
1985,f,m,Київ
1989,m,m,Chicago
1990,f,m,
1977,f,m,Рівне
1991,f,a,Київ
1991,f,m,Kiev
1986,m,p,Київ
1976,m,p,м. Херсон
1991,m,m,Тернопіль
1984,m,m,м. Суми
1974,m,m,
1986,f,m,Київ
1994,m,a,Київ
1992,f,m,Kiev
1994,m,a,Київ/Ніжин
1988,m,m,Київ
1991,m,jhs,Чернігів
1979,f,m,Kiev
1981,m,m,Kyiv
1966,m,m,Київ
1987,m,m,Донецьк(тимчасово Київська область)
1985,f,a,Київ
1988,m,m,Kharkiv
1983,f,m,Киів
1995,m,a,Київ
1994,m,a,Харків
1977,f,m,Kyiv
1986,m,m,Київ
1986,m,m,Київ
1994,f,a,Киев
1966,f,jhs,місто Київ
1989,f,m,Львів
1989,f,m,Киев
1997,f,hs,Київ
1982,f,b,Дніпропетровськ 
1983,m,m,Суми
1980,m,m,Бровари
1994,f,a,
None,m,,
1976,m,m,
1992,f,m,Фастів
1985,m,jhs,Киев
1994,m,a,М. Бровари
1983,m,m,Київ
1982,m,m,Київ
1990,m,m,Київ
1995,m,a,Миколаїв
1992,f,m,Алчевськ/Львів
1983,f,p,Київ
1986,m,a,Киев 
1984,m,m,Кривий Ріг
1989,m,b,м. Чернівці
1975,m,m,м.Ужгород
1986,m,m,Киев
1979,m,m,Луцьк
1991,f,m,Львів
1996,f,hs,село Селище
None,f,a,
1993,m,b,Донецьк
None,,,
1994,m,b,Рівне
1981,m,m,Київ
1967,m,p,Kyiv
1975,m,a,м. Хмельницький
1987,m,m,Львів
1979,m,m,
1984,m,b,Киев
1982,m,m,київ
1986,m,m,м. Івано-Франківськ
1979,f,m,Івано-Франківськ
1991,m,m,Київ
1996,m,a,м. Київ
1982,m,a,
1991,f,m,Lviv
1995,m,hs,Київ
1977,m,m,Kiev
1982,m,m,Київ
2014,m,p,
1987,m,m,Київ
1987,m,b,Київ
1984,m,m,
1991,f,m,Львів
1998,m,el,Дніпропетровська область Павлоградський район с.Богданівка вулиця Папаніна 18
1977,m,m,Житомир
1983,m,m,Харків
None,f,m,Киев
1947,f,m,Київ
1985,m,m,Київ
1986,m,m,
1995,f,hs,"м.Київ
вул. Волинська 25, кв.19"
1981,m,m,Ніжин
1992,m,b,Kyiv
1981,m,p,Суми
1975,m,m,м. Южне
1992,f,b,Вінниця
1999,f,hs,м. Черкаси
1992,m,b,Кривий Ріг
1970,m,m,Київ
1992,f,b,Київ
1986,m,m,Алушта
1977,m,m,Kiyv
1989,m,m,Kyiv
1981,f,m,Київ
1989,m,m,Київ
1980,m,m,Київ
1992,m,b,Kyiv
1989,m,m,Київ
1987,m,m,Kharkiv
None,f,m,
1977,m,m,Київ
1967,f,m,Дныпропетровськ
1988,m,m,Київ
1984,m,m,
1983,m,b,Вишневе
1979,m,m,м.Київ
1992,m,b,
None,m,,
1995,m,a,Kyiv
1993,m,b,Київ
1979,f,m,
1987,m,m,м.Киъв
1990,m,a,Donetsk
1991,m,m,
1988,f,m,Львів
1990,f,b,Вільшана
1992,f,m,Івано-Франківськ 
None,m,m,Кiev
1995,m,jhs,Броди
1977,f,m,Київ
1983,f,m,Львіів
1986,f,jhs,Lviv
1992,f,m,Львів
1986,m,m,Киев
1996,m,b,Киев
1991,f,m,"Tallin, Estonia"
1992,m,b,Вінниця-Київ-Познань
1996,f,hs,Київ
1988,m,m,Львів
1974,m,m,Киев
1995,m,a,Запоріжжя
1986,f,m,Миколаів
1984,m,b,Київ
1959,f,m,Одесса
1969,f,m,м. Харків
1979,m,b,м.Брянка Луганська обл.
1990,m,m,Харків
1971,m,m,Киев
1996,m,hs,Київ
1972,m,m,Донецк
1967,m,m,м. Київ
1996,f,hs,Черкаси-Київ
1990,m,m,Оріхів
1973,f,m,Київ
1978,m,m,Черкаси
1997,m,hs,Дрогобич
1986,m,p,
1971,m,m,  Деражня
1992,m,m,Dnipropetrovsk
1997,m,hs,Мукачево
1995,m,a,Киев
1990,m,m,Київ
1984,m,m,Kyiv
1980,m,m,Киев
1989,m,m,Киев
1990,m,m,Тернопіль
1988,m,m,
1979,m,m,Дніпропетровськ
1990,m,b,Київ
1984,m,b,
1980,m,b,Хотин
1988,f,a,
1975,m,a,Kyiv
1975,f,m,Київ
1989,f,m,Київ
1986,f,m,м. Київ
1990,f,m,Odessa
1985,f,hs,Одесса
1994,f,b,Київ
1984,m,m,Київ
1990,f,m,Днепропетровск
1991,m,m,Київ
1986,m,a,Kiev
1994,f,jhs,місто Бородянка
1992,f,b,Суми
1984,f,m,
1979,f,m,Полтава
1992,f,b,
1993,f,b,Київ
1979,m,m,
1989,m,m,Київ
1994,f,a,Київ
1988,m,m,Київ
1992,m,m,Київ
1995,m,hs,м. Київ
1984,m,m,Киів
1989,m,b,
1995,f,a,М. Київ
1970,f,m,Тараща
1971,f,m,Киев
1987,f,a,Коломия
1983,f,m,Київ
1971,f,m,Київ
1988,f,m,Київ
1995,f,a,Одеса
1961,f,m,Кривий Ріг
1987,f,m,Миколаїв 
1969,f,m,м. Дніпропетровск
1993,f,a,Тернопіль
1976,f,p,Запоріжжя
1979,f,m,
1975,f,m,Вінниця
1983,f,m,Запоріжжя
1991,f,m,Rovno
1991,f,m,Донецьк
1982,f,m,Київ
1978,f,m,"Київська обл., село Білогородка"
None,f,m,
1977,f,m,Харьков
1982,f,m,Київ
1992,f,b,Вишневе
1994,f,m,Poltava
1993,f,b,Маріуполь
1985,f,m,
1974,f,m,Kyiv
1968,f,m,місто Біла Церква
1987,f,m,Odessa
1991,f,m,
1989,f,a,Киев
1990,f,m,м. Київ
1977,f,hs,м. Днiпропетровськ
1981,f,m,Київ
1969,f,m,"Uman, Cherkasy Region"
1985,f,m,Winnica
1986,f,m,Харків
1977,f,m,Київ
1966,f,a,Черкаси
1986,f,m,Черкаси
1971,f,m,Mariupol Ukraine
None,f,m,
1987,f,m,Чернiгiв
1991,f,m,Вінниця
1986,f,m,Київ 
1972,f,p,м. Київ
1980,f,m,Київ
1982,f,m,Київ
1988,f,b,Івано-Франківськ
1980,m,m,Одеса
1972,f,m,Winnyzja
1990,m,m,Луганск
None,,,
1993,m,b,Київ
1994,f,a,м.Кіровоград
1967,f,m,Київ
1981,f,m,с.Станіслав Білозерський район Херсонська обл
1989,f,m,Київ
None,f,hs,
1977,f,m,Київ
1989,f,jhs,м.Кременчук
1995,f,a,м. Київ
1967,f,m,Киiв
1991,f,m,Київ
1995,m,hs,
1976,f,m,"Страсбург, Франція"
1985,f,m,Київ
1988,f,m,Kyiv
1986,m,m,Odessa
1979,f,m,Київ
None,f,m,"Вишгород, Київська обл."
1989,f,m,
1989,f,m,Харків
1982,f,b,Запорiжжя
1988,f,m,Київ
None,f,m,
1987,m,m,Харьков
1990,f,m,Вінниця
1995,m,hs,
1994,f,a,Одеса
1992,f,m,Дніпропетровськ
1982,m,m,Харків
1987,m,m,Київ
1990,f,m,Киев
1996,m,hs,Київ
1973,f,m,Київ
1993,f,a,Львів
1985,f,m,Киев
1992,m,b,
1991,m,m,м. Київ
1977,f,m,Київ
1988,m,m,Lviv
1977,f,m,Київ
1980,f,m,Kyiv
1994,f,a,Київ
1993,m,b,м. Київ
1995,f,a,Днепропетровск
1988,f,m,Ірпінь
1988,m,m,Одеса
1989,m,m,
1983,f,m,
1989,f,m,
1993,f,b,Київ
1988,m,jhs,Запорожье
1993,f,b,Київ
1988,m,m,м. Луцьк
None,f,m,
1967,m,m,
1977,f,m,Kiev
1982,m,m,Київ
1987,m,m,lemberg
1988,m,m,Kyiv
1994,m,a,Brovary
1980,f,hs,Київ
1992,f,b,м.Одеса
1984,f,m,Київ
1988,f,b,Київ
1986,f,m,Київ
1991,m,m,Львів
1994,f,a,Острог
1976,m,p,Lviv
1972,m,m,Малин
1970,m,p,Київ
None,,,
1986,m,m,Київ
1993,m,b,
1984,m,m,Київ
1988,f,m,Киев
1984,f,m,Запоріжжя
1986,m,m,місто Київ
1973,m,m,Київ
1988,f,hs,м.Рівне
1982,f,m,Киев
1983,f,m,Київ
1980,f,p,Київ
1985,m,m,м. Дніпропетровськ
1987,m,m,
None,,a,Ostroh 
1995,m,a,"Місто Фастів, Київська область. "
1993,m,a,
1981,m,m,
1995,m,a,Київ
1993,m,a,м. Харків
1982,m,m,
1982,m,m,Київ
1997,m,hs,Дніпропетровськ
1993,m,b,Дніпропетровська область м.Кривий Ріг
1986,m,m,Київ
1990,m,b,
1997,f,hs,Харків
1974,f,m,Киів
1985,m,m,Харків
1988,m,m,Київ
1994,f,a,
1982,m,a,
1980,m,m,Kyiv
1989,m,m,Вінниця
1964,f,m,Kyiv
1985,f,m,Київ
1981,m,m,
1986,m,m,Київ
1985,f,m,Київ
1986,m,m,Кривий Ріг
1988,m,m,Харків
1983,m,m,Крим
1991,m,m,Ужгород
1988,m,m,Київ
1980,m,m,Черкаси
1993,f,jhs,Харків
1991,f,a,Одесса 
1993,f,b,
1994,f,a,Київ
1989,m,m,Київ
1993,m,b,Київ
1984,m,m,м. Київ
1989,f,m,Київ 
1978,f,m,Мелітополь
1983,m,m,
1981,m,m,Kyiv
1989,m,m,Kiev
1986,m,m,Київ
1982,f,m,
1986,f,p,Zaporizhia
1985,f,m,Kiev
1977,f,m,Poltava
1967,m,m,"Крим, смт. Гурзуф"
1979,m,m,
1981,m,m,"м. Дніпропетровськ, м. Донецьк"
1985,m,m,Київ
1978,m,m,Київ
1987,m,m,Kyiv
1991,m,m,Київ
1984,m,jhs,Киев
1982,m,m,"Северодонецк, Ивано-Франковск"
1989,m,m,Харьков
1993,f,a,"місто Рубіжне ,Луганська область "
1990,f,m,
1980,f,m,Херсон
1991,m,m,
1979,m,m,Kharkiv
1996,f,hs,Київ
1979,f,m,Київ
1994,m,a,
None,m,m,
1978,m,m,м. Львів
1996,m,a,Київ
1982,f,m,
1978,f,m,Riwne
1989,m,m,Львів
1983,m,p,Черкаси
1989,m,a,Київ
1993,m,m,Дніпропетровськ
1986,m,m,
1994,m,a,Київ
1988,m,m,Київ
1990,m,m,Крим
1985,m,m,Харків
1991,m,m,
1981,m,m,Киъв
1985,m,b,Львів
1999,m,hs,Вінниця
1978,m,m,Львів
1983,m,m,
1996,m,a,місто Київ
1995,m,hs,Київ
1973,f,b,Odessa
1968,m,jhs,Кривий Ріг
1985,m,b,Київ
None,m,m,
1982,m,m,Миколаїв
1981,m,m,Вінниця
1991,m,m,
1986,m,m,Київ
None,,m,
None,f,m,
1993,m,,
1990,f,m,Київ
None,m,m,
1972,m,m,"м. Лебедин, Сумська обл."
1987,m,m,"Makiivka, Donetsk dist."
1976,m,m,Киев
1983,m,m,Київ
1985,m,a,Житомир
1976,m,hs,Тимчасово проживаю у Москві.
1998,f,hs,Місто Олександрія
1979,f,m,Киев
1986,f,b,Київ
1983,m,p,Донецьк
1990,m,m,
1978,f,m,Іванків. Київська област 
1989,m,m,"c.Єгорівка, Волноваського р-н, Донецької обл."
1980,f,a,г. Киев
1997,m,jhs,
1991,f,m,Київ
1992,f,a,Київ
1981,f,m,
1974,m,m,Киев
1989,m,p,г. Запорожье
1983,m,m,Київ
1993,f,b,Житомир
1978,m,m,місто Житомир
1969,m,m,Миколаїв
1973,m,m,"Kominternivske, Odeska obl."
1991,f,m,Київ
1986,m,m,Киев
1985,f,m,
1992,f,m,Черкаси
1992,f,a,Kyiv
1989,m,b,Рівне
1990,m,m,
None,m,m,
1982,f,b,Киів
1991,m,m,Київ
None,m,a,
1994,m,a,Київ
1986,f,m,Миколаїв 
1993,m,a,Vinnytsia
1979,m,a,Житомир
1981,,m,
1983,f,m,
1989,f,m,Kharkiv
1972,m,m,г. Херсон
1986,m,hs,Чернігів
1985,m,b,Кривой Рог
1990,f,m,Запоріжжя
1989,m,m,Кривий Ріг
1988,m,m,м. Кременчук
1991,m,b,м. Київ
1985,m,m,Київ
1998,f,el,Донецк
1984,m,m,Київ
1991,m,m,Київ 
1989,m,b,Мариуполь
1964,m,m,Івано-Франківськ
1981,f,m,Київ
1995,m,el,м. Суми
1991,f,m,Київ
1993,m,b,М. Київ
1989,m,a,Суми
1970,m,m,Kiyv
1986,m,a,Київ
1986,m,b,м. Одеса
1981,f,m,Львів
1987,m,m,Київ
1992,m,b,
1980,m,m,Львів
1982,m,a,Київ
1991,m,b,Київ
1987,m,m,
1982,m,m,Першотравенськ Дніпропетровської області
1987,f,m,Lviv
1964,m,m,"м. Ічня, 16700"
1995,m,hs,Kiev
1980,m,m,Київ 
1980,f,m,м.Ужгород
1980,f,m,Дніпропетровськ
1970,f,m,м.Київ
1974,f,m,Конотоп
1990,m,m,Донецьк
1986,f,m,м.Дрогобич
1990,m,hs,Київ
1985,m,a,Київ
1977,f,m,Черкаси
1974,m,hs,Запорожье
1972,m,a,Киев
1979,f,m,м. Київ
1994,m,a,Kyiv
1992,m,m,Днепропетровск
1984,f,m,Київ
1985,m,m,Київ
1988,m,m,
1986,m,m,Kiev
1986,f,m,м.Луцьк
1969,m,m,Київ
1992,f,m,Одеса
1989,m,m,Київ
1992,m,m,Rivne
1979,m,m,Полтава
1987,f,m,м. Київ
1978,m,p,
1959,f,m, м. Дніпродзержинськ.
1968,m,m,Київ
1986,m,m,Київ
1983,f,m,Львів
1985,f,m,Київ
1971,m,jhs,Lviv
1996,f,hs,Львів
1992,m,b,Львів
1980,f,m,Одеса
1983,f,m,Київ
1988,f,m,Київ
1985,f,m,
1989,m,m,Київ
1992,f,b,Київ
1979,m,m,Запоріжжя
1980,m,m,Київ
1993,m,b,Одеса
1985,m,m,Київ
1997,m,hs,Київ
1993,m,a,Івано Франківськ
1954,f,a,Одеса
1992,m,b,Сумы
1992,f,b,м. Івано-Франківськ
1982,m,m,Київ
1971,m,m,Черкассы
None,m,other,Киев
1991,m,m,Київ
1994,m,a,Полтава
1996,f,a,Київ
1963,f,m,Lviv
1976,m,m,
1986,m,b,Київ
1981,m,m,Запоріжжя
None,f,m,
1980,f,m,Львів
1987,m,m,"Одеська обл., м. Іллічівськ"
1980,f,m,Київ
1987,f,m,Тернопіль
1994,m,hs,Київ
1979,m,m,м.Ірпінь
1989,m,hs,Бориспіль
1991,m,b,Київ
1989,m,a,Київ
None,m,b,
1986,m,m,Львів
1977,f,m,Киев
1995,f,a,Kyiv
1982,m,m,Дніпропетровськ
1993,m,a,Київ
1984,m,m,
1985,m,m,м. Золотоноша
1992,m,b,Kiev
1975,m,m,м. Київ
1997,m,other,Днепродзержинск
1972,m,m,Коломия
1986,f,m,
1987,f,m,м. Одеса
1990,m,m,Регенсбург (Німеччина)
1987,m,m,Київ
1979,m,p,м. Тернопіль
1981,m,b,Київ
1990,m,b,Запоріжжя
1991,f,m," смт Середнє, Ужгородський р-н, Закарпатська обл."
1964,f,jhs,Одесская обл. г. Раздельная
1982,m,m,Рівне
1980,m,m,Николаев
1981,f,m,"г.Вишневый, Киевская обл"
1984,f,m,Черкаси
1984,m,m,Київ
1985,m,p,Одесса 
1985,m,m,м.Полтава
1983,f,m,Киев
1960,f,m,луцьк
1992,m,m,Чернівці
1985,f,b,Київ
1979,f,p,Odessa
1986,m,m,Київ
1981,f,m,м. Вінниця
1996,m,hs,
1995,m,a,Київ
1988,m,m,Київ
1989,f,m,
1998,m,hs,м. Київ
1992,f,b,Kyiv
1988,f,m,Львів
None,,,
1989,m,b,Львів
1982,f,m,м. Київ
1991,f,m,Kyiv
1979,f,m,Київ
1960,f,jhs,
1984,f,m,Одеса
1964,f,hs,Ганнусівка Тисменицького рн Івано-Франківської обл. 
1985,f,m,Київ
1981,f,m,Бориспіль
1981,f,m,Бориспіль
1989,f,m,м. Тернопіль
1966,f,a,м. Яготин
1993,f,m,Київ
1979,f,p,Тернопіль
1986,f,m,м. Енергодар
1984,f,a,с. Погреби
1970,f,m,київ
1983,m,m,
1973,f,m,Івано-Франківськ
1984,m,m,Київ
1972,f,m,Київ
1990,f,m,м. Київ
1952,m,m,Київ
1977,f,m,Дрогобич
1986,f,m,
1984,m,m,Донецьк
1990,f,b,Київ
1976,f,m, Київ
1981,f,p,
1971,f,m,м. Бровари
1970,f,m,"м.Яворів, Львівської обл."
1982,f,m,Kyiv
1988,f,m,Киів
1985,f,m,м.Долина Івано-Франківської області
1969,f,m,Kyiv
1974,f,m,Київ
1983,f,m,Дрогобич
1982,f,m,Дніпропетровськ
1968,m,m,Львів
1981,f,m,Київ
1997,f,other,"Україна, Херсон"
1976,f,jhs,Львів
1986,m,m,Кривий Ріг
1992,f,b,місто Київ
1994,f,b,м. Запоріжжя
1977,f,m,Обухів
1971,f,m,
1991,f,m,Киев
1967,o,m,Киев
1986,f,,Київ
1992,f,b,Київ
1988,f,m,
1983,m,m,Kiev
None,,,
1984,f,m,
1996,f,a,Київ
1988,m,m,Киев
1974,m,m,Запоріжжя
1968,m,m,київ
1973,m,m,
1981,m,m,
1961,m,b,Святогiрск
1988,m,m,Lviv
1979,f,m,"Tbilisi
Ivano-Frankivsk"
1996,m,a,Дніпропетровськ
1984,m,m,Селидове
1990,m,m,Київ
1983,f,m,
1986,m,m,Lviv
1984,m,m,Lviv
1991,m,m,м.Київ
1982,f,a,kiev
1986,m,m,"м. Лубни, Полтавська обл."
1983,m,a,Київ
1984,m,m,Черкаси
1989,m,m,Київ
1992,f,m,Київ
1999,m,el,Київ
1989,f,m,Київ
1970,m,m,м.Маріуполь
1987,f,m,Івано- Франківськ
1990,f,m,м. Жовті Води
1980,f,m,Львів
1985,f,m,
None,,,
1983,m,b,Київ
1979,,,
1985,f,m,"Бровари, Київська область"
1987,m,m,Київ
1991,f,m,Київ
1989,f,m,
1994,f,a,Київ
1993,m,b,
1967,m,m,
1970,m,m,Київ
1983,m,m,Киев
1967,m,a,Київ
1994,f,a,Київ
1986,m,jhs,Київ
None,,,
1995,m,a,Кривий Ріг
1995,m,a,Київ
1975,m,m,Івано-Франківськ
1977,m,m,"м. Бердянськ, Запорізької обл."
1984,m,m,
1988,m,m,Київ
None,m,m,
1996,f,jhs,Дніпропетровськ
1985,f,m,
1979,m,a,
1987,f,m,Кривой Рог
1987,f,m,Киев
1968,m,a,
1980,m,m,
1992,m,b,Київ
1971,m,m,Киів
1991,m,m,Львів
1980,f,m,Київ
1984,f,m,Kyiv 
1995,f,hs,Запоріжжя
None,m,p,Kyiv
1995,m,a,Северодонецьк
1985,m,m,Киев
1985,m,m,Дніпропетровськ
1981,m,b,Кременчук
1987,m,m,Полтава
1988,m,m,Київ
1986,f,m,
1990,f,m,Kyiv
1991,f,a,місто Київ
1995,f,a,Київ
1981,f,p,м. Київ
None,f,m,
1985,m,a,Львів
1993,m,b,м.Київ
1984,m,m,Kiev
1983,f,m,Львів
1983,f,m,Київ
1975,f,m,Київ
1993,f,b,Київ
1984,f,m,Івано-Франківськ
1990,m,b,Донецк
1992,f,jhs,Київ
1986,f,m,
1991,m,b,Київ
1988,f,m,Київ
1981,f,m,Київ
1982,f,m,Львів
1993,m,b,
1981,m,m,Київ
1988,m,m,
1997,f,hs,Дніпропетровськ
2014,f,b,Київ
1986,m,a,Kiev
1994,m,b,м. Житомир
1994,m,a,Київ
1988,m,m,Київ
1991,m,m,Івано-Франківськ
1989,f,m,Київ
1991,f,m,Вінниця
None,m,m,
1989,f,b,Киев
1979,m,b,Київ
1994,m,a,Черкаси
1988,m,m,Київ
1991,m,b,Запоріжжя
1986,m,m,
None,m,a,
1981,m,jhs,м. Липовець Вінницька обл.
1984,f,m,"м. Дубно, Рівненська обл."
1978,f,m,м.Калуш Івано-Франківська обл
1997,f,a,Тернопіль
1966,m,m,kiev
1975,m,m,Пекин
None,,,
1983,f,m,"м.Світловодськ, Кіровоградська обл."
1983,m,m,м.Львів
1996,f,hs,Донецьк
1996,f,hs,Одеса
1995,f,a,Івано-Франківськ
1994,m,hs,
1986,f,m,Херсон
1988,m,m,Івано-Франківськ
1973,f,m,Dniepropetrovsk
1973,m,m,
1983,f,m,Київ
1973,f,m,Київ
1991,m,b,Харків
1982,m,m,Київ
1982,m,a,Київ
1982,m,m,"Закарпатська область, місто Хуст"
1982,m,m,Lviv
1991,f,a,Kyiv
1973,m,jhs,КиЇв
1975,m,m,м. Львів
1983,m,m,Миколаїв
1982,m,m,Прилуки
1985,m,a,Київ
1982,f,m,"Украина, Киев"
1989,m,m,Киев
1986,m,m,Київ
1991,m,m,"Івано-Франківськ, Ужгород."
1992,m,b,Суми
1992,m,b,Kyiv
1987,f,b,Харків
1985,m,b,Kiev
1991,f,m,місто Київ
1978,f,m,Львів
1982,m,a,Харьков
1977,m,hs,Київ
1989,m,m,lviv
1990,f,m,Київ
1984,m,a,Chicago 
1987,f,m,Київ
1994,m,b,Харків
1986,f,m,Рівне
1965,m,m,Черкаси
1989,m,m,Одеса
1980,m,a,Kyiv
1989,m,m,Днепропетровск
1971,f,m,м. Одеса
1994,m,a,Харків
1998,f,other,"c.Михайлівка ,Ямпільський район "
None,m,m,Київ
1975,f,m,Київ
1971,f,hs,Одесса
1985,m,m,Kiev
1980,m,p,Київ
1986,f,m,Київ
1976,m,m,Київ
1997,m,hs,Вінниця
1984,m,m,
1982,f,m,Dnepropetrovsk
1993,m,b,Одеса
1984,m,m,Кіровоград
1995,m,a,Київ
1991,m,m,Kyiv
1984,m,m,Kiev
1996,m,hs,м.Київ
1992,f,m,Луцьк
1978,f,p,Київ
1990,m,m,Львів
1986,m,m,Київ
1971,m,other,Львів
1971,m,m,
1994,f,a,Київ
None,f,m,
1986,f,m,"м. Вишгород, Київська обл."
1973,m,m,Київ
1991,f,m,Київ
1978,m,m,Чернівці
1979,m,hs,Кіровоград
1992,m,b,"с. Великий Дальник, Одеська обл."
1987,m,a,
1987,m,m,
None,m,m,
1959,m,p,Корсунь
1982,m,m,Одеса
1965,m,m,"Красноармійськ, раніше - Донецьк"
1997,f,hs,Львів
1984,f,m,Київ
1992,m,m,
1981,m,m,Київ
1990,m,b,"Львівська обл., с.Скнилів"
1981,m,m,
1980,f,m,Київ
1992,f,m,Херсон
1991,m,m,Київ
1989,f,b,Харкiв
1984,f,m,Днепропетровск 
1971,f,m,Kiev
1980,m,a,Odessa
1972,m,b,Харків
1992,m,m,
1983,f,b,Місто Київ 
1987,f,m,Львів
1994,m,b,
1992,f,b,Київ
